Planning_Region,Tenure_Type,Tenure_Length,Unit_Age,Residual_Life,Res_Floor_No,1KM_Cat1_School_Count,1KM_Cat2_School_Count,1KM_Cat3_School_Count,MRT_within_1Q,Area_SQFT,Unit_Price_PSF
Central Region,99 yrs,99,4,95,4,0,0,0,5,1001.05,2107
Central Region,99 yrs,99,4,95,4,0,0,0,5,678.13,2322
Central Region,99 yrs,99,4,95,4,0,0,0,5,731.95,2185
Central Region,99 yrs,99,4,95,4,0,0,0,5,1593.07,2156
Central Region,99 yrs,99,4,95,4,0,0,0,5,1162.51,2371
Central Region,99 yrs,99,4,95,4,0,0,0,5,1593.07,2189
Central Region,99 yrs,99,4,95,4,0,0,0,5,753.48,2167
Central Region,99 yrs,99,4,95,4,0,0,0,5,731.95,2161
Central Region,99 yrs,99,4,95,4,0,0,0,5,1162.51,2073
Central Region,99 yrs,99,4,95,5,0,0,0,5,1011.82,2103
Central Region,99 yrs,99,4,95,5,0,0,0,5,731.95,2198
Central Region,99 yrs,99,4,95,5,0,0,0,5,742.72,2189
Central Region,99 yrs,99,4,95,5,0,0,0,5,753.48,2174
Central Region,99 yrs,99,4,95,5,0,0,0,5,1162.51,2113
Central Region,99 yrs,99,4,95,6,0,0,0,5,1022.58,2100
Central Region,99 yrs,99,4,95,6,0,0,0,5,1496.2,2231
Central Region,99 yrs,99,4,95,6,0,0,0,5,753.48,2182
Central Region,99 yrs,99,4,95,6,0,0,0,5,1593.07,2170
Central Region,99 yrs,99,4,95,6,0,0,0,5,764.24,2168
Central Region,99 yrs,99,4,95,6,0,0,0,5,753.48,2146
Central Region,99 yrs,99,4,95,6,0,0,0,5,1162.51,2088
Central Region,99 yrs,99,4,95,7,0,0,0,5,1496.2,2117
Central Region,99 yrs,99,4,95,7,0,0,0,5,1593.07,2182
Central Region,99 yrs,99,4,95,7,0,0,0,5,1593.07,2195
Central Region,99 yrs,99,4,95,7,0,0,0,5,764.24,2241
Central Region,99 yrs,99,4,95,7,0,0,0,5,753.48,2154
Central Region,99 yrs,99,4,95,7,0,0,0,5,1162.51,2035
Central Region,99 yrs,99,4,95,8,0,0,0,5,753.48,2190
Central Region,99 yrs,99,4,95,8,0,0,0,5,753.48,2196
Central Region,99 yrs,99,4,95,8,0,0,0,5,721.19,2206
Central Region,99 yrs,99,4,95,9,0,0,0,5,753.48,2204
Central Region,99 yrs,99,4,95,9,0,0,0,5,1162.51,2114
Central Region,99 yrs,99,4,95,10,0,0,0,5,753.48,2213
Central Region,99 yrs,99,4,95,10,0,0,0,5,1162.51,2122
Central Region,99 yrs,99,4,95,11,0,0,0,5,764.24,2159
Central Region,99 yrs,99,4,95,11,0,0,0,5,742.72,2234
Central Region,99 yrs,99,4,95,11,0,0,0,5,742.72,2234
Central Region,99 yrs,99,4,95,11,0,0,0,5,667.37,2464
Central Region,99 yrs,99,4,95,11,0,0,0,5,1162.51,2197
Central Region,99 yrs,99,4,95,12,0,0,0,5,1011.82,2156
Central Region,99 yrs,99,4,95,12,0,0,0,5,3778.16,2134
Central Region,99 yrs,99,4,95,12,0,0,0,5,688.9,2373
Central Region,99 yrs,99,4,95,12,0,0,0,5,731.95,2258
Central Region,99 yrs,99,4,95,12,0,0,0,5,742.72,2242
Central Region,99 yrs,99,4,95,12,0,0,0,5,1162.51,2139
Central Region,99 yrs,99,4,95,13,0,0,0,5,1011.82,2164
Central Region,99 yrs,99,4,95,13,0,0,0,5,753.48,2188
Central Region,99 yrs,99,4,95,13,0,0,0,5,721.19,2273
Central Region,99 yrs,99,4,95,13,0,0,0,5,1593.07,2297
Central Region,99 yrs,99,4,95,13,0,0,0,5,1593.07,2285
Central Region,99 yrs,99,4,95,13,0,0,0,5,742.72,2250
Central Region,99 yrs,99,4,95,13,0,0,0,5,731.95,2226
Central Region,99 yrs,99,4,95,13,0,0,0,5,1205.57,2242
Central Region,99 yrs,99,4,95,13,0,0,0,5,1173.28,2171
Central Region,99 yrs,99,4,95,13,0,0,0,5,1162.51,2105
Central Region,99 yrs,99,4,95,13,0,0,0,5,1582.31,2346
Central Region,99 yrs,99,4,95,14,0,0,0,5,1001.05,2183
Central Region,99 yrs,99,4,95,14,0,0,0,5,742.72,2211
Central Region,99 yrs,99,4,95,14,0,0,0,5,710.42,2298
Central Region,99 yrs,99,4,95,14,0,0,0,5,731.95,2274
Central Region,99 yrs,99,4,95,14,0,0,0,5,1582.31,2479
Central Region,99 yrs,99,4,95,14,0,0,0,5,742.72,2256
Central Region,99 yrs,99,4,95,14,0,0,0,5,742.72,2219
Central Region,99 yrs,99,4,95,14,0,0,0,5,1162.51,2257
Central Region,99 yrs,99,4,95,14,0,0,0,5,1162.51,2091
Central Region,99 yrs,99,4,95,15,0,0,0,5,990.29,2203
Central Region,99 yrs,99,4,95,15,0,0,0,5,731.95,2234
Central Region,99 yrs,99,4,95,15,0,0,0,5,710.42,2305
Central Region,99 yrs,99,4,95,15,0,0,0,5,731.95,2282
Central Region,99 yrs,99,4,95,15,0,0,0,5,1593.07,2332
Central Region,99 yrs,99,4,95,15,0,0,0,5,1162.51,2531
Central Region,99 yrs,99,4,95,15,0,0,0,5,1582.31,2423
Central Region,99 yrs,99,4,95,15,0,0,0,5,753.48,2248
Central Region,99 yrs,99,4,95,15,0,0,0,5,753.48,2211
Central Region,99 yrs,99,4,95,15,0,0,0,5,1140.98,2321
Central Region,99 yrs,99,4,95,15,0,0,0,5,1162.51,2332
Central Region,99 yrs,99,4,95,15,0,0,0,5,1162.51,2160
Central Region,99 yrs,99,4,95,16,0,0,0,5,979.52,2292
Central Region,99 yrs,99,4,95,16,0,0,0,5,710.42,2274
Central Region,99 yrs,99,4,95,16,0,0,0,5,710.42,2314
Central Region,99 yrs,99,4,95,16,0,0,0,5,1582.31,2405
Central Region,99 yrs,99,4,95,16,0,0,0,5,1582.31,2442
Central Region,99 yrs,99,4,95,16,0,0,0,5,1140.98,2330
Central Region,99 yrs,99,4,95,17,0,0,0,5,979.52,2231
Central Region,99 yrs,99,4,95,17,0,0,0,5,699.66,2299
